EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
55,100,12.40886411,0.00050000,256,2751,200,dgru,23,0.00082133,0.00072331,-29.27389,-31.02170288,-32.93767545,-32.03390946,-32.48579246,0.00082530,-29.153564,-31.07129867,-31.97354856,-30.87718679,-31.42536767
56,100,12.62561244,0.00050000,256,2751,200,dgru,23,0.00081505,0.00071863,-29.30239,-31.03682532,-32.89314978,-31.99174507,-32.44244742,0.00081853,-29.189447,-31.10358738,-31.93162478,-30.82777290,-31.37969884
57,100,12.83908462,0.00050000,256,2751,200,dgru,23,0.00080968,0.00071367,-29.333672,-31.06944071,-32.94485019,-32.01500992,-32.47993006,0.00081320,-29.217691,-31.13866309,-31.95469331,-30.83543360,-31.39506346
58,100,13.05922409,0.00050000,256,2751,200,dgru,23,0.00080619,0.00071404,-29.332626,-31.05538755,-32.99092371,-32.00378575,-32.49735473,0.00081262,-29.22125,-31.13491732,-31.97744770,-30.80787089,-31.39265930
59,100,13.26365838,0.00050000,256,2751,200,dgru,23,0.00080091,0.00070898,-29.361212,-31.06685900,-32.87064566,-31.94967959,-32.41016262,0.00080568,-29.257668,-31.14513699,-31.89340661,-30.76837382,-31.33089022
60,100,13.47569137,0.00050000,256,2751,200,dgru,23,0.00079664,0.00070891,-29.361147,-31.08043958,-32.93650976,-31.98590209,-32.46120592,0.00080289,-29.271917,-31.16275622,-31.93669137,-30.79311406,-31.36490271
61,100,13.67929771,0.00050000,256,2751,200,dgru,23,0.00079375,0.00070581,-29.38237,-31.08568575,-32.94775326,-32.05417891,-32.50096609,0.00080346,-29.269308,-31.15275094,-31.92704033,-30.80949323,-31.36826678
62,100,13.89258165,0.00050000,256,2751,200,dgru,23,0.00078875,0.00070580,-29.380646,-31.07811053,-32.99574966,-32.00673869,-32.50124417,0.00080095,-29.284079,-31.15420351,-31.95979036,-30.78231274,-31.37105155
63,100,14.09516128,0.00050000,256,2751,200,dgru,23,0.00078479,0.00069396,-29.452385,-31.13118334,-32.89327433,-31.93355218,-32.41341325,0.00078359,-29.37615,-31.23433987,-31.87824693,-30.71712224,-31.29768458
64,100,14.31498288,0.00050000,256,2751,200,dgru,23,0.00078011,0.00069676,-29.436384,-31.10677811,-32.93647879,-31.98742181,-32.46195030,0.00078757,-29.35509,-31.20058771,-31.91221553,-30.73477943,-31.32349748
65,100,14.54566661,0.00050000,256,2751,200,dgru,23,0.00077679,0.00068936,-29.48174,-31.16048982,-33.01015448,-32.03365618,-32.52190533,0.00078032,-29.394333,-31.24203239,-31.95727611,-30.77069992,-31.36398801
66,100,14.78580439,0.00050000,256,2751,200,dgru,23,0.00077368,0.00069400,-29.45359,-31.13744520,-33.00382460,-32.05930738,-32.53156599,0.00078540,-29.367556,-31.21383640,-31.94739746,-30.79191063,-31.36965404
67,100,15.00392919,0.00050000,256,2751,200,dgru,23,0.00076959,0.00068320,-29.522474,-31.19557484,-32.99110592,-32.04770154,-32.51940373,0.00077388,-29.430267,-31.26456433,-31.93504161,-30.75911354,-31.34707757
68,100,15.21026630,0.00050000,256,2751,200,dgru,23,0.00076622,0.00068887,-29.488068,-31.15791096,-32.97584456,-32.02909001,-32.50246729,0.00077773,-29.410904,-31.25786666,-31.93658804,-30.73601819,-31.33630311
69,100,15.41770347,0.00050000,256,2751,200,dgru,23,0.00076147,0.00069047,-29.476542,-31.16021937,-32.99539938,-32.10158129,-32.54849033,0.00078238,-29.383926,-31.22420827,-31.93111476,-30.77730183,-31.35420829
70,100,15.63872707,0.00050000,256,2751,200,dgru,23,0.00075930,0.00067957,-29.545105,-31.19311146,-32.99473472,-32.01376079,-32.50424776,0.00076349,-29.489212,-31.30689578,-31.93660591,-30.71337504,-31.32499047
71,100,15.84619073,0.00050000,256,2751,200,dgru,23,0.00075447,0.00067973,-29.545694,-31.19533159,-33.06368955,-32.10216057,-32.58292506,0.00076839,-29.46256,-31.28178940,-31.97419495,-30.75199703,-31.36309599
72,100,16.05621561,0.00050000,256,2751,200,dgru,23,0.00075181,0.00067341,-29.585007,-31.22443830,-33.06395880,-32.05043072,-32.55719476,0.00075897,-29.513895,-31.31292153,-31.95617655,-30.72620302,-31.34118978
73,100,16.26370034,0.00050000,256,2751,200,dgru,23,0.00074765,0.00067380,-29.584131,-31.23293248,-33.08415348,-32.13324793,-32.60870070,0.00076101,-29.502632,-31.31436243,-31.95591638,-30.76879665,-31.36235651
74,100,16.46967390,0.00050000,256,2751,200,dgru,23,0.00074499,0.00067366,-29.580118,-31.23758910,-32.98925882,-32.04338921,-32.51632401,0.00075307,-29.544622,-31.34400374,-31.88095953,-30.71433312,-31.29764633
75,100,16.68170603,0.00050000,256,2751,200,dgru,23,0.00074143,0.00066995,-29.608229,-31.24445229,-33.04782507,-32.09482932,-32.57132720,0.00075318,-29.548996,-31.35109297,-31.93549407,-30.72091804,-31.32820606
76,100,16.89252763,0.00050000,256,2751,200,dgru,23,0.00073759,0.00066357,-29.64975,-31.27812526,-32.99656842,-32.09098577,-32.54377709,0.00074542,-29.592133,-31.38017374,-31.89529373,-30.70707473,-31.30118423
77,100,17.09178941,0.00050000,256,2751,200,dgru,23,0.00073288,0.00066275,-29.654137,-31.27819706,-33.06405310,-32.13452242,-32.59928776,0.00074206,-29.61119,-31.38751120,-31.92066145,-30.72975751,-31.32520948
78,100,17.29734400,0.00050000,256,2751,200,dgru,23,0.00072978,0.00066136,-29.66242,-31.29480790,-32.99251375,-32.10545891,-32.54898633,0.00074003,-29.620214,-31.38827878,-31.86681069,-30.70136996,-31.28409033
79,100,17.50826192,0.00050000,256,2751,200,dgru,23,0.00072608,0.00065716,-29.691994,-31.32352198,-33.10409093,-32.15317408,-32.62863251,0.00073654,-29.644762,-31.41703691,-31.93134349,-30.73741884,-31.33438116
80,100,17.72829175,0.00050000,256,2751,200,dgru,23,0.00072295,0.00065783,-29.688925,-31.30063935,-33.06876810,-32.16563633,-32.61720222,0.00074174,-29.615091,-31.36897862,-31.89718530,-30.69906709,-31.29812619
81,100,17.94397202,0.00050000,256,2751,200,dgru,23,0.00071817,0.00065289,-29.721273,-31.33596048,-33.12118203,-32.18036041,-32.65077122,0.00072845,-29.693182,-31.46039816,-31.92415417,-30.70962188,-31.31688803
82,100,18.15513498,0.00050000,256,2751,200,dgru,23,0.00071476,0.00064777,-29.75614,-31.37481634,-33.06482377,-32.16134707,-32.61308542,0.00072295,-29.724937,-31.48675355,-31.87968353,-30.69449514,-31.28708934
83,100,18.36193784,0.00050000,256,2751,200,dgru,23,0.00071207,0.00064987,-29.741182,-31.34101814,-33.00607456,-32.16448776,-32.58528116,0.00072223,-29.72985,-31.47947611,-31.82739426,-30.66938754,-31.24839090
84,100,18.57096137,0.00050000,256,2751,200,dgru,23,0.00070725,0.00064375,-29.7788,-31.38920698,-33.01718917,-32.15255071,-32.58486994,0.00071200,-29.787064,-31.50892752,-31.82311043,-30.68191941,-31.25251492
85,100,18.78857749,0.00050000,256,2751,200,dgru,23,0.00070177,0.00063747,-29.825129,-31.43030192,-33.08131540,-32.19736998,-32.63934269,0.00070996,-29.803284,-31.53543036,-31.86055350,-30.68142852,-31.27099101
86,100,19.00126216,0.00050000,256,2751,200,dgru,23,0.00069827,0.00063821,-29.820532,-31.42531729,-33.16591005,-32.28143875,-32.72367440,0.00071121,-29.795975,-31.51941721,-31.89494285,-30.74265162,-31.31879723
87,100,19.20761117,0.00050000,256,2751,200,dgru,23,0.00069369,0.00063274,-29.858688,-31.45794067,-33.09872056,-32.22783142,-32.66327599,0.00070316,-29.845453,-31.56815826,-31.86626308,-30.68606290,-31.27616299
