EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
30,100,17.49679687,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00062951,0.00059036,-28.15909,-30.06911750,-34.79753678,-33.46617517,-34.13185598,0.00067406,-28.043877,-30.10811373,-35.55709082,-33.48149331,-34.51929206
31,100,18.06711308,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00060159,0.00056313,-28.36413,-30.29117162,-34.97865663,-33.67058695,-34.32462179,0.00064478,-28.237747,-30.32061393,-35.74411866,-33.71250868,-34.72831367
32,100,18.65552253,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498460,0.00356043,1063.63539682,0.00057615,0.00053770,-28.565018,-30.50409671,-35.17499360,-33.88526529,-34.53012944,0.00061695,-28.429602,-30.53030311,-35.96993540,-33.94705592,-34.95849566
33,100,19.19494840,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498464,0.00356046,1063.63536756,0.00055299,0.00051492,-28.752935,-30.70441176,-35.35307153,-34.08124504,-34.71715829,0.00059216,-28.60858,-30.72525865,-36.16226853,-34.16828255,-35.16527554
34,100,19.74399896,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00053149,0.00049371,-28.935654,-30.90030419,-35.53427007,-34.26889319,-34.90158163,0.00056912,-28.781904,-30.91541364,-36.35487609,-34.38419781,-35.36953695
35,100,20.27481890,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00051161,0.00047389,-29.113703,-31.09899293,-35.70660602,-34.46313699,-35.08487150,0.00054776,-28.948938,-31.10303324,-36.53787136,-34.60144405,-35.56965770
36,100,20.82787517,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00049338,0.00045579,-29.28302,-31.27138764,-35.88719303,-34.64333720,-35.26526511,0.00052802,-29.109077,-31.27447309,-36.71541123,-34.82004703,-35.76772913
37,100,21.39135147,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00047659,0.00043916,-29.44465,-31.43824445,-36.04246071,-34.81383320,-35.42814695,0.00051034,-29.257772,-31.43611601,-36.88933061,-35.01846030,-35.95389545
38,100,21.95227109,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498477,0.00356055,1063.63527911,0.00046106,0.00042344,-29.603067,-31.60561837,-36.22693768,-34.99402621,-35.61048194,0.00049268,-29.410706,-31.60549298,-37.07159197,-35.21654881,-36.14407039
39,100,22.51566588,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498473,0.00356052,1063.63530859,0.00044640,0.00040855,-29.758774,-31.77662114,-36.39705955,-35.14836793,-35.77271374,0.00047703,-29.552435,-31.76307684,-37.24694905,-35.40352911,-36.32523908
